date,regime
2026-03-02,0
2026-03-03,0
2026-03-04,2
2026-03-05,2
2026-03-06,0
2026-03-09,2
2026-03-10,2
2026-03-11,2
2026-03-12,2
2026-03-13,2
2026-03-16,0
2026-03-17,2
2026-03-18,2
2026-03-19,2
2026-03-20,2
2026-03-23,2
2026-03-24,2
2026-03-25,2
2026-03-26,2
2026-03-27,2
2026-03-30,2
2026-03-31,0
2026-04-01,2
2026-04-02,0
2026-04-06,2
2026-04-07,2
2026-04-08,0
2026-04-09,2
2026-04-10,2
2026-04-13,2
2026-04-14,2
2026-04-15,2
2026-04-16,2
2026-04-17,2
2026-04-20,2
2026-04-21,2
2026-04-22,2
2026-04-23,2
2026-04-24,0
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,2
2026-05-04,2
2026-05-05,2
2026-05-06,0
2026-05-07,0
2026-05-08,2
2026-05-11,2
2026-05-12,2
2026-05-13,0
2026-05-14,0
2026-05-15,1
2026-05-18,1
2026-05-19,1
2026-05-20,1
2026-05-21,0
2026-05-22,2
2026-05-26,2
2026-05-27,2
2026-05-28,2
2026-05-29,0
2026-06-01,0
2026-06-02,0
2026-06-03,0
